name,team,location,capacity,surface,roof,opened
Acrisure Stadium,Pittsburgh Steelers,"Pittsburgh, Pennsylvania",68400,Kentucky bluegrass,Open air,2001
Allegiant Stadium,Las Vegas Raiders,"Paradise, Nevada",65000,Bermuda grass,Translucent,2020
Arrowhead Stadium,Kansas City Chiefs,"Kansas City, Missouri",76416,Bermuda grass,Open air,1972
AT&T Stadium,Dallas Cowboys,"Arlington, Texas",80000,Artificial,Retractable,2009
Bank of America Stadium,Carolina Panthers,"Charlotte, North Carolina",75037,FieldTurf,Open air,1996
Caesars Superdome,New Orleans Saints,"New Orleans, Louisiana",73208,Artificial,Dome,1975
Empower Field at Mile High,Denver Broncos,"Denver, Colorado",76125,Kentucky bluegrass,Open air,2001
EverBank Stadium,Jacksonville Jaguars,"Jacksonville, Florida",69132,Bermuda grass,Open air,1995
Ford Field,Detroit Lions,"Detroit, Michigan",65000,FieldTurf,Dome,2002
Gillette Stadium,New England Patriots,"Foxborough, Massachusetts",66829,FieldTurf,Open air,2002
Hard Rock Stadium,Miami Dolphins,"Miami Gardens, Florida",65326,Bermuda grass,Open air,1987
Highmark Stadium,Buffalo Bills,"Orchard Park, New York",67000,Kentucky bluegrass,Open air,2026
Huntington Bank Field,Cleveland Browns,"Cleveland, Ohio",67895,Kentucky bluegrass,Open air,1999
Lambeau Field,Green Bay Packers,"Green Bay, Wisconsin",81441,Hybrid grass,Open air,1957
Levi's Stadium,San Francisco 49ers,"Santa Clara, California",68500,Bermuda grass,Open air,2014
Lincoln Financial Field,Philadelphia Eagles,"Philadelphia, Pennsylvania",69596,GrassMaster,Open air,2003
Lucas Oil Stadium,Indianapolis Colts,"Indianapolis, Indiana",67000,Artificial,Retractable,2008
Lumen Field,Seattle Seahawks,"Seattle, Washington",69000,FieldTurf,Open air,2002
M&T Bank Stadium,Baltimore Ravens,"Baltimore, Maryland",71008,Bermuda–ryegrass,Open air,1998
Mercedes Benz Stadium,Atlanta Falcons,"Atlanta, Georgia",71000,FieldTurf,Retractable,2017
MetLife Stadium,New York Giants,"East Rutherford, New Jersey",82500,FieldTurf,Open air,2010
Nissan Stadium,Tennessee Titans,"Nashville, Tennessee",69143,Artificial,Open air,1999
Northwest Stadium,Washington Commanders,"Landover, Maryland",64000,Bermuda grass,Open air,1997
NRG Stadium,Houston Texans,"Houston, Texas",72220,Artificial,Retractable,2002
Paycor Stadium,Cincinnati Bengals,"Cincinnati, Ohio",65515,Artificial,Open air,2000
Raymond James Stadium,Tampa Bay Buccaneers,"Tampa, Florida",65890,Bermuda grass,Open air,1998
SoFi Stadium,Los Angeles Rams,"Inglewood, California",70000,Artificial,Translucent,2020
Soldier Field,Chicago Bears,"Chicago, Illinois",61500,Bermuda grass,Open air,1924
State Farm Stadium,Arizona Cardinals,"Glendale, Arizona",63400,Bermuda grass,Retractable,2006
U.S. Bank Stadium,Minnesota Vikings,"Minneapolis, Minnesota",66655,Artificial,Translucent,2016
